place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJDRGi_a7PADsR7IbGVWzPNf0,Mug & Beans,,False,1083,"Name: Murugan Idli Shop
link: https://www.google.com/maps/search/Murugan+Idli+Shop/@9.915890599999999,78.11561449999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7261 reviews

Name: Bean Cafe
link: https://www.google.com/maps/search/Bean+Cafe/@9.933639999999999,78.14236009999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 67 reviews",http://www.mugandbeans.in/,Mug & Beans (Ye Zhu ),https://www.google.com/maps/contrib/116430155109463186510,https://lh5.googleusercontent.com/p/AF1QipOiumgBAfkI4C3SsEi47NFYtOuJhuaSVr9lwYB3=w408-h408-k-no,Ka Pei Ting ,"Ka Pei Ting , Ya Zhou   Fusion Cai Can Ting , Ka Pei Dian , Dian Dong Qi Che Chong Dian Zhan , Kuai Can Dian , Yi Da Li Za Huo Dian , San Wen Zhi Dian ",4.2,09:45-22:30,Open All Days,+91 99403 83234,"Mug & Beans, Moolakarai, 61/1, Madurai -Thirumangalam Rd, Pasumalai, Madurai, Tamil Nadu 625004Yin Du ","Su Shi , Shu Liang , Yi Da Li Mian , Jia Ting , Bang Wan , Shu Tiao , Leng Qi , La Jiao , Wu Ding ",https://www.google.com/maps/place/Mug+%26+Beans/data=!4m7!3m6!1s0x3b00cfaefda2110d:0xfd35cf6c55c686ec!8m2!3d9.8918928!4d78.076442!16s%2Fg%2F11flkccjty!19sChIJDRGi_a7PADsR7IbGVWzPNf0?authuser=0&hl=zh-TW&rclk=1
ChIJQxUqMsTPADsRhLOD8SvzwTU,TCE Canteen Block,,False,93,"Name: Food Court
link: https://www.google.com/maps/search/Food+Court/@9.8833443,78.0832458?authuser=0&hl=zh-TW&entry=ttu
Reviews: 46 reviews

Name: THILAK'S KITCHEN
link: https://www.google.com/maps/search/THILAK%27S+KITCHEN/@9.879904,78.06702419999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.tce.edu/,TCE Canteen Block (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMhWSio8wDmtsh1qI_7VFDP9yPWRzw01KBhyVVD=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,3.6,,Open All Days,,"V3MH+8W4 TCE Canteen Block, Thiruparankundram, Tamil Nadu 625015Yin Du ",Xue Sheng ,https://www.google.com/maps/place/TCE+Canteen+Block/data=!4m7!3m6!1s0x3b00cfc4322a1543:0x35c1f32bf183b384!8m2!3d9.883274!4d78.0798306!16s%2Fg%2F1tdpdmj4!19sChIJQxUqMsTPADsRhLOD8SvzwTU?authuser=0&hl=zh-TW&rclk=1
ChIJlS4K8TnOADsR3UW4-Wlh6bc,Coffee Day,,False,91,"Name: Coffee Day Fresh 'n Ground
link: https://www.google.com/maps/search/Coffee+Day+Fresh+%27n+Ground/@9.9244109,78.115017?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews",https://www.cafecoffeeday.com/,Coffee Day (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP34J2ta-vZsfw10I4jAFJersJn_4dNbOpBNa-s=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,09:00-21:00,Open All Days,,"V3M3+F39 Coffee Day, Thiru Nagar, Tamil Nadu 625006Yin Du ",,https://www.google.com/maps/place/Coffee+Day/data=!4m7!3m6!1s0x3b00ce39f10a2e95:0xb7e96169f9b845dd!8m2!3d9.8836679!4d78.0527284!16s%2Fg%2F11g6rlsqhr!19sChIJlS4K8TnOADsR3UW4-Wlh6bc?authuser=0&hl=zh-TW&rclk=1
ChIJ8f___5DPADsRExvn0UO6OYM,Kumbakonam Degree Coffee,,False,85,"Name: Narasu's Coffee
link: https://www.google.com/maps/search/Narasu%27s+Coffee/@9.921249,78.14886400000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 20 reviews

Name: Meenakshi Coffee Shop
link: https://www.google.com/maps/search/Meenakshi+Coffee+Shop/@9.9409636,78.0831424?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Kumbakonam degree coffee
link: https://www.google.com/maps/search/Kumbakonam+degree+coffee/@10.0442271,78.00829759999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: Gokulam Coffee Shop
link: https://www.google.com/maps/search/Gokulam+Coffee+Shop/@9.9148041,78.1167001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.kumbakonamcoffeeindia.com/,Kumbakonam Degree Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMtbQmAI0sq-ArvqIpCC-lry6j9U-SsSknU41km=w537-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4,08:00-20:00,Open All Days,+91 98844 06181,"Kumbakonam Degree Coffee, 27,Opp.New Register Office,Keza Street,Palaganatham, Madurai, Tamil Nadu 625003Yin Du ",,https://www.google.com/maps/place/Kumbakonam+Degree+Coffee/data=!4m7!3m6!1s0x3b00cf90fffffff1:0x8339ba43d1e71b13!8m2!3d9.897979!4d78.0932164!16s%2Fg%2F11cnp37qzh!19sChIJ8f___5DPADsRExvn0UO6OYM?authuser=0&hl=zh-TW&rclk=1
ChIJpZIJ8JvPADsRmnXE-ne_g-M,KUMBAKONAM DEGREE COFFEE-kumpkoonnm ttikiri kaapi,,False,45,"Name: Kumbakonam degree coffee
link: https://www.google.com/maps/search/Kumbakonam+degree+coffee/@10.0442271,78.00829759999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.kumbakonamcoffeeindia.com/,KUMBAKONAM DEGREE COFFEE-kumpkoonnm ttikiri kaapi (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPyTNxxI26qIE7eqt7UK0VjmnXQsscSpKw83MZM=w408-h544-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.2,06:00-21:30,Open All Days,+91 98844 06181,"W34V+FQC KUMBAKONAM DEGREE COFFEE-kumpkoonnm ttikiri kaapi, Keezha (East) St, Pasumpon Nagar, Mathuramalingapuram, Madurai, Tamil Nadu 625003Yin Du ",,https://www.google.com/maps/place/KUMBAKONAM+DEGREE+COFFEE-%E0%AE%95%E0%AF%81%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%95%E0%AF%8B%E0%AE%A3%E0%AE%AE%E0%AF%8D+%E0%AE%9F%E0%AE%BF%E0%AE%95%E0%AE%BF%E0%AE%B0%E0%AE%BF+%E0%AE%95%E0%AE%BE%E0%AE%AA%E0%AE%BF/data=!4m7!3m6!1s0x3b00cf9bf00992a5:0xe383bf77fac4759a!8m2!3d9.9061941!4d78.0943855!16s%2Fg%2F11clwkl7cb!19sChIJpZIJ8JvPADsRmnXE-ne_g-M?authuser=0&hl=zh-TW&rclk=1
ChIJP_pOsaTPADsRwb9VgB9aroE,MLA COFI,,False,9,"Name: Lala cafe
link: https://www.google.com/maps/search/Lala+cafe/@9.8177419,78.0077111?authuser=0&hl=zh-TW&entry=ttu
Reviews: 63 reviews

Name: Lassi house
link: https://www.google.com/maps/search/Lassi+house/@9.883172499999999,78.05266430000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 22 reviews

Name: Kala tea stall & sweets
link: https://www.google.com/maps/search/Kala+tea+stall+%26+sweets/@9.8821199,78.05275470000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews",https://mla-cofi.business.site/?utm_source=gmb&utm_medium=referral,MLA COFI (Ye Zhu ),https://www.google.com/maps/contrib/101583520640639733575,https://lh5.googleusercontent.com/p/AF1QipOmpnwjKkWMaHaiy9-HTWUuYGNTniZorrbJdSB0=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,06:00-21:30,Open All Days,,"MLA COFI, Harveypatti Bus Stop, No 277, GST Main Rd, Thiru Nagar, Tamil Nadu 625006Yin Du ",Jian Kang ,https://www.google.com/maps/place/MLA+COFI/data=!4m7!3m6!1s0x3b00cfa4b14efa3f:0x81ae5a1f8055bfc1!8m2!3d9.8804903!4d78.0609985!16s%2Fg%2F11hfhjq417!19sChIJP_pOsaTPADsRwb9VgB9aroE?authuser=0&hl=zh-TW&rclk=1
ChIJkUrQrwzPADsRlIS7-uSx5TA,Madurai,,False,5,"Name: Sri guganandha olivalar mandram
link: https://www.google.com/maps/search/Sri+guganandha+olivalar+mandram/@9.8887228,78.1633507?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: mturai nkr arrivuttirukkooyil
link: https://www.google.com/maps/search/%E0%AE%AE%E0%AE%A4%E0%AF%81%E0%AE%B0%E0%AF%88+%E0%AE%A8%E0%AE%95%E0%AE%B0%E0%AF%8D+%E0%AE%85%E0%AE%B1%E0%AE%BF%E0%AE%B5%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%8B%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D/@9.9239803,78.1226219?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews

Name: World Renewal Spiritual Trust
link: https://www.google.com/maps/search/World+Renewal+Spiritual+Trust/@9.9252007,78.1197754?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://www.sunflowerdance.com/,Madurai (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sT6gZiE2HkWwMSu9Luj2VA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=201.78232&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,4.4,,Open All Days,,"V3Q5+C22 Madurai, Unnamed Road, Tamil Nadu 625006Yin Du ",,https://www.google.com/maps/place/Madurai/data=!4m7!3m6!1s0x3b00cf0cafd04a91:0x30e5b1e4fabb8494!8m2!3d9.8885208!4d78.0575207!16s%2Fg%2F11gp212ltf!19sChIJkUrQrwzPADsRlIS7-uSx5TA?authuser=0&hl=zh-TW&rclk=1
ChIJeTsi183PADsRl_z6y8A_9QU,Snow Falls,,False,1,"Name: Isandy
link: https://www.google.com/maps/search/Isandy/@9.8887287,78.07530469999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 87 reviews

Name: Sri Saravanass Icecreams
link: https://www.google.com/maps/search/Sri+Saravanass+Icecreams/@9.9071505,78.10214719999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: FRUITSTICKS Ice Cream Shop - Bypass road
link: https://www.google.com/maps/search/FRUITSTICKS+Ice+Cream+Shop+-+Bypass+road/@9.928087699999999,78.0952282?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Madurai Famous Jigarthanda
link: https://www.google.com/maps/search/Madurai+Famous+Jigarthanda/@9.8825642,78.0720237?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",http://www.hatsun.com/arunicecreams/,Snow Falls (Ye Zhu ),,https://lh3.googleusercontent.com/gps-proxy/AMy85WLfdkAdoAa-v_ygRXUEOR1yDo0VUTXCQRgcZ1RUcVYZHiN78YdpdbbKlj6KZZrtA-VBbI-RouzFQNfqAjZU-c7qKV7UJG938sDUBPhJX6UKQeovCAjxH3iCZnfYs2Hfkfl31JZa0gSeMsq4JHI1RWPJVrsDZ2sUplNDu94Y6VVqN1WiuZ2nNTgV3eI3D-QSSBiWQw=w408-h306-k-no,Xue Gao Dian ,Xue Gao Dian ,4,10:00-21:00,Open All Days,+91 98946 83399,"V3JC+676 Snow Falls, Big Car St, Thiruparankundram, Madurai, Thiruparankundram, Tamil Nadu 625019Yin Du ",,https://www.google.com/maps/place/Snow+Falls/data=!4m7!3m6!1s0x3b00cfcdd7223b79:0x5f53fc0cbfafc97!8m2!3d9.8805317!4d78.0706282!16s%2Fg%2F11b7zjrrtc!19sChIJeTsi183PADsRl_z6y8A_9QU?authuser=0&hl=zh-TW&rclk=1
ChIJcTTGWZvPADsRE8kcn9arM28,Merina Coffee Bar,,False,264,"Name: Venmani Coffee Bar
link: https://www.google.com/maps/search/Venmani+Coffee+Bar/@9.9063245,78.1102712?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews

Name: Venmani coffee bar andalpuaram
link: https://www.google.com/maps/search/Venmani+coffee+bar+andalpuaram/@9.9079689,78.1014142?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Merina Coffee Bar (Ye Zhu ),https://www.google.com/maps/contrib/101957259214666907460,https://lh5.googleusercontent.com/p/AF1QipMR7mud0d1X_MjtTjQdg2vC5_93QSCse2ZsGeze=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,04:00-22:30,Open All Days,,"Merina Coffee Bar, Palangantham, Vasantha Nagar 3rd St, Vasanth Nagar, Tamil Nadu 625003Yin Du ",,https://www.google.com/maps/place/Merina+Coffee+Bar/data=!4m7!3m6!1s0x3b00cf9b59c63471:0x6f33abd69f1cc913!8m2!3d9.9065066!4d78.0986699!16s%2Fg%2F11c6v7pqc8!19sChIJcTTGWZvPADsRE8kcn9arM28?authuser=0&hl=zh-TW&rclk=1
ChIJ80__6vbOADsRAAAAsPQpJ0M,KDFC ONLY COFFEE,,False,240,"Name: KDFC Coffee Shop East
link: https://www.google.com/maps/search/KDFC+Coffee+Shop+East/@9.660717499999999,77.966397?authuser=0&hl=zh-TW&entry=ttu
Reviews: 839 reviews

Name: kdfc's only coffee
link: https://www.google.com/maps/search/kdfc%E2%80%99s+only+coffee/@9.4760598,77.9393364?authuser=0&hl=zh-TW&entry=ttu
Reviews: 272 reviews

Name: Kdfc's Only Coffee
link: https://www.google.com/maps/search/Kdfc%27s+Only+Coffee/@10.0510939,78.2046848?authuser=0&hl=zh-TW&entry=ttu
Reviews: 233 reviews

Name: Kdfc's only coffee
link: https://www.google.com/maps/search/Kdfc%27s+only+coffee/@9.9317123,78.13328539999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,KDFC ONLY COFFEE (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM0VumnqPWC8lyL2CqTyy64AOYqE1sQq0WqbBU3=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,,Open All Days,+91 79046 09419,"KDFC ONLY COFFEE, 7/5B Thattanur, Kilakuyilkudi, Tamil Nadu 625006Yin Du ","Xiao Chi , Gao Su Gong Lu , Suan La Jiang ",https://www.google.com/maps/place/KDFC+ONLY+COFFEE/data=!4m7!3m6!1s0x3b00cef6eaff4ff3:0x432729f4b0000000!8m2!3d9.9116185!4d78.0495401!16s%2Fg%2F11rsslwr8r!19sChIJ80__6vbOADsRAAAAsPQpJ0M?authuser=0&hl=zh-TW&rclk=1
ChIJLz_vMUTPADsR4wjnNoqeLOM,"TEA TIME, PASUMALAI",,False,126,"Name: TEA TIME ANNA NAGAR MADURAI
link: https://www.google.com/maps/search/TEA+TIME+ANNA+NAGAR+MADURAI/@9.9190647,78.1485144?authuser=0&hl=zh-TW&entry=ttu
Reviews: 371 reviews

Name: TEA TIME MADURAI
link: https://www.google.com/maps/search/TEA+TIME+MADURAI/@9.9361508,78.1341102?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews

Name: Tea Time,Narimedu
link: https://www.google.com/maps/search/Tea+Time%2CNarimedu/@9.9399374,78.128841?authuser=0&hl=zh-TW&entry=ttu
Reviews: 16 reviews

Name: TEA TIME
link: https://www.google.com/maps/search/TEA+TIME/@9.8982537,78.1144801?authuser=0&hl=zh-TW&entry=ttu
Reviews: 13 reviews

Name: Tea Time, Madurai
link: https://www.google.com/maps/search/Tea+Time%2C+Madurai/@9.8808235,78.0716398?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews",,"TEA TIME, PASUMALAI (Ye Zhu )",https://www.google.com/maps/contrib/111671423569351482499,https://lh5.googleusercontent.com/p/AF1QipMu-HvQrl-QpGs_b9jGv7XeUQjqkMgPLL9PqH9B=w408-h544-k-no,Cha Xie Dian ,"Cha Xie Dian , Xue Gao Dian , Wu Jiu Jing Yin Liao Dian ",4.2,07:00-21:00,Open All Days,+91 99946 63822,"TEA TIME, PASUMALAI, CSI Complex, B2, Tirupparankunram Rd, Pasumalai, Madurai, Tamil Nadu 625004Yin Du ",Jia Ge ,"https://www.google.com/maps/place/TEA+TIME,+PASUMALAI/data=!4m7!3m6!1s0x3b00cf4431ef3f2f:0xe32c9e8a36e708e3!8m2!3d9.8942833!4d78.0822254!16s%2Fg%2F11qz_pndp2!19sChIJLz_vMUTPADsR4wjnNoqeLOM?authuser=0&hl=zh-TW&rclk=1"
ChIJVT47qvPPADsRvPU_iz-1m2k,Kamatchi Tea and Coffee BAR,,False,65,,,Kamatchi Tea and Coffee BAR (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipNz31TFjHc3p4uOUnfjR1xdWrM_r878eWYjvD6o=w408-h425-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,,Open All Days,,"W22W+85P Kamatchi Tea and Coffee BAR, Srinivasa Colony, Madurai, Tamil Nadu 625006Yin Du ",Cha Dian ,https://www.google.com/maps/place/Kamatchi+Tea+and+Coffee+BAR/data=!4m7!3m6!1s0x3b00cff3aa3b3e55:0x699bb53f8b3ff5bc!8m2!3d9.9008439!4d78.0454607!16s%2Fg%2F11ptyfn1w9!19sChIJVT47qvPPADsRvPU_iz-1m2k?authuser=0&hl=zh-TW&rclk=1
ChIJ1YHpg77PADsRPMtARRmd2bE,COFFEE HOUSE ,,False,64,"Name: Mug & Beans
link: https://www.google.com/maps/search/Mug+%26+Beans/@9.891892799999999,78.076442?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1081 reviews

Name: Maha coffee bar
link: https://www.google.com/maps/search/Maha+coffee+bar/@9.922719899999999,78.1248921?authuser=0&hl=zh-TW&entry=ttu
Reviews: 26 reviews",,COFFEE HOUSE  (Ye Zhu ),https://www.google.com/maps/contrib/104353491166966512074,https://lh5.googleusercontent.com/p/AF1QipNgXlhcaLNwCVLHOhz1I-Kjij2KU1c2ta-oUDZ9=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.4,05:01-21:00,Open All Days,+91 72008 06296,"COFFEE HOUSE , 126, 22, Pasumalai, Madurai, Tamil Nadu 630552Yin Du ",,https://www.google.com/maps/place/COFFEE+HOUSE+%E2%9D%A4%EF%B8%8F/data=!4m7!3m6!1s0x3b00cfbe83e981d5:0xb1d99d194540cb3c!8m2!3d9.8949588!4d78.0846817!16s%2Fg%2F11d_tsfht8!19sChIJ1YHpg77PADsRPMtARRmd2bE?authuser=0&hl=zh-TW&rclk=1
ChIJQ77lDbDPADsRu38pEWvWOMc,KVM Karupatti coffee,,False,45,"Name: SRI GOKULAM KARUPATTI COFFEE
link: https://www.google.com/maps/search/SRI+GOKULAM+KARUPATTI+COFFEE/@9.917093,78.105673?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews

Name: KVM COFFEE BAR
link: https://www.google.com/maps/search/KVM+COFFEE+BAR/@9.8998695,78.10288109999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,KVM Karupatti coffee (Ye Zhu ),https://www.google.com/maps/contrib/106361869439621769539,https://lh5.googleusercontent.com/p/AF1QipPR1iOxjVLxVDf_FuoPYW9XdSAd-qctQtO_E6YS=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,24 Xiao Shi Ying Ye ,Open All Days,,"KVM Karupatti coffee, NH-7, GST ROAD, THANAKKANKULAM, near to INDIANOIL PETROL PUMP, Madurai, Tamil Nadu 625006Yin Du ",,https://www.google.com/maps/place/KVM+Karupatti+coffee/data=!4m7!3m6!1s0x3b00cfb00de5be43:0xc738d66b11297fbb!8m2!3d9.8829418!4d78.037486!16s%2Fg%2F11rq3cw1wl!19sChIJQ77lDbDPADsRu38pEWvWOMc?authuser=0&hl=zh-TW&rclk=1
ChIJeQj5-uDPADsRGghrKnjTbic,Cheers Cafe,,False,29,"Name: COFFEE HOUSE 
link: https://www.google.com/maps/search/COFFEE+HOUSE+%E2%9D%A4%EF%B8%8F/@9.8949588,78.08468169999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 64 reviews

Name: Chillax Cafe
link: https://www.google.com/maps/search/Chillax+Cafe/@9.9438268,78.1003879?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews",,Cheers Cafe (Ye Zhu ),https://www.google.com/maps/contrib/109287213325079950475,https://lh5.googleusercontent.com/p/AF1QipNYsi80og4tpl1aXmkvZQEBRezCpqtYuA5TOt1Q=w408-h544-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,10:00-21:30,Open All Days,,"Cheers Cafe, Moolakari, Tirupparankunram Rd, Pasumalai, Madurai, Thiruparankundram, Tamil Nadu 625004Yin Du ",Guo Zhi ,https://www.google.com/maps/place/Cheers+Cafe/data=!4m7!3m6!1s0x3b00cfe0faf90879:0x276ed3782a6b081a!8m2!3d9.8921753!4d78.0764562!16s%2Fg%2F11sjgj_x35!19sChIJeQj5-uDPADsRGghrKnjTbic?authuser=0&hl=zh-TW&rclk=1
ChIJMeVCxZvPADsRAKzsIR3buVI,Sri Lakshmi Coffee Bar-lttcumi kaapi paar,,False,29,"Name: Sri Lakshmi krishna Milk Parlor
link: https://www.google.com/maps/search/Sri+Lakshmi+krishna+Milk+Parlor/@9.936120599999999,78.1428093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 150 reviews",,Sri Lakshmi Coffee Bar-lttcumi kaapi paar (Ye Zhu ),https://www.google.com/maps/contrib/107192849118757915983,https://lh5.googleusercontent.com/p/AF1QipMrVzavPm2SrkBHjWUuQjJX7cPzEoacr5U9J0Zu=w408-h725-k-no,Ka Pei Dian ,Ka Pei Dian ,4.1,04:30-23:30,Open All Days,,"Sri Lakshmi Coffee Bar-lttcumi kaapi paar, Palanganatham Bus Stand Road Palanganatham, Pykara, Tamil Nadu 625003Yin Du ",,https://www.google.com/maps/place/Sri+Lakshmi+Coffee+Bar-%E0%AE%B2%E0%AE%9F%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%AE%E0%AE%BF+%E0%AE%95%E0%AE%BE%E0%AE%AA%E0%AE%BF+%E0%AE%AA%E0%AE%BE%E0%AE%B0%E0%AF%8D/data=!4m7!3m6!1s0x3b00cf9bc542e531:0x52b9db1d21ecac00!8m2!3d9.9045724!4d78.0945035!16s%2Fg%2F11f4wrqwl9!19sChIJMeVCxZvPADsRAKzsIR3buVI?authuser=0&hl=zh-TW&rclk=1
ChIJvZzIPyzOADsRH6vxuiyvpEg,ORU MANI TEA STALL,,False,28,"Name: DHARANI TEA STALL
link: https://www.google.com/maps/search/DHARANI+TEA+STALL/@9.878010699999999,78.0619853?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Mani Tea Kadai
link: https://www.google.com/maps/search/Mani+Tea+Kadai/@9.8801084,78.07214309999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",,ORU MANI TEA STALL (Ye Zhu ),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T69G7QRBWnQs97cps70rxg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=274.31686&pitch=0&thumbfov=100,Ka Pei Ting ,Ka Pei Ting ,4.2,,Open All Days,,"ORU MANI TEA STALL, 312, Harveypatti, Tamil Nadu 625005Yin Du ",,https://www.google.com/maps/place/ORU+MANI+TEA+STALL/data=!4m7!3m6!1s0x3b00ce2c3fc89cbd:0x48a4af2cbaf1ab1f!8m2!3d9.8739174!4d78.0607789!16s%2Fg%2F11dxdc3pbj!19sChIJvZzIPyzOADsRH6vxuiyvpEg?authuser=0&hl=zh-TW&rclk=1
ChIJwe8KYi3PADsRvN1VEBNA0bg,Lassi house,,False,22,"Name: LASSI HOUSE
link: https://www.google.com/maps/search/LASSI+HOUSE/@9.933168,78.1439236?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1510 reviews

Name: Lassi House
link: https://www.google.com/maps/search/Lassi+House/@9.919538700000002,78.0940772?authuser=0&hl=zh-TW&entry=ttu
Reviews: 212 reviews

Name: Lassi House Villapuram
link: https://www.google.com/maps/search/Lassi+House+Villapuram/@9.9028387,78.118048?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: inyci ttii kttai
link: https://www.google.com/maps/search/%E0%AE%87%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AE%BF+%E0%AE%9F%E0%AF%80+%E0%AE%95%E0%AE%9F%E0%AF%88/@9.8854369,78.0531874?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",,Lassi house (Ye Zhu ),https://www.google.com/maps/contrib/103540082668074480460,https://lh5.googleusercontent.com/p/AF1QipO_pcyyZJsmwpmCt7rR5oztV9OYHDMNyePsdrwx=w408-h408-k-no,Ka Pei Ting ,"Ka Pei Ting , Yin Pin Fen Xiao Shang ",5,11:00-09:00,Open All Days,,"Lassi house, Nehruji street Tirunagar, 3rd St, stop, Tamil Nadu 625006Yin Du ",,https://www.google.com/maps/place/Lassi+house/data=!4m7!3m6!1s0x3b00cf2d620aefc1:0xb8d140131055ddbc!8m2!3d9.8831725!4d78.0526643!16s%2Fg%2F11l9yh_lf4!19sChIJwe8KYi3PADsRvN1VEBNA0bg?authuser=0&hl=zh-TW&rclk=1
ChIJi0AV8HrPADsRccfFxNrYLHk,Thiruchendur Murugan Coffee,,False,20,"Name: Gowri Coffee Stall-kauri kaapi sttaal
link: https://www.google.com/maps/search/Gowri+Coffee+Stall-%E0%AE%95%E0%AF%8C%E0%AE%B0%E0%AE%BF+%E0%AE%95%E0%AE%BE%E0%AE%AA%E0%AE%BF+%E0%AE%B8%E0%AF%8D%E0%AE%9F%E0%AE%BE%E0%AE%B2%E0%AF%8D/@9.9216718,78.0982088?authuser=0&hl=zh-TW&entry=ttu
Reviews: 83 reviews",,Thiruchendur Murugan Coffee (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOJqApBrNNEDdjP2ffCKX3SH-PXW-8-7PxoW3Ca=w426-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.2,,Open All Days,,"W4C2+FH9 Thiruchendur Murugan Coffee, Thomas Colony, Madurai, Tamil Nadu 625016Yin Du ",,https://www.google.com/maps/place/Thiruchendur+Murugan+Coffee/data=!4m7!3m6!1s0x3b00cf7af015408b:0x792cd8dac4c5c771!8m2!3d9.9211586!4d78.1014761!16s%2Fg%2F11f2wlwmth!19sChIJi0AV8HrPADsRccfFxNrYLHk?authuser=0&hl=zh-TW&rclk=1
