place_id,place_name,about,link
ChIJKfRYxue9jBIR9687fGTC9iE,Cafe 5 Juillet,All,https://lh5.googleusercontent.com/p/AF1QipPRQ1TV3ufRtjI1DmNE-7Tu0FuaMPgiE5wB0Sxx=w224-h298-k-no
ChIJKfRYxue9jBIR9687fGTC9iE,Cafe 5 Juillet,Food & drink,https://lh5.googleusercontent.com/p/AF1QipN7Vu_uRm6ue44wKA7Tfgi5oO2EGMPzFM2rNxdo=w224-h298-k-no
ChIJKfRYxue9jBIR9687fGTC9iE,Cafe 5 Juillet,Vibe,https://lh5.googleusercontent.com/p/AF1QipNIFAojaMLmSRSKTnuslE2oXCQC8RMq66Ng9zOL=w224-h298-k-no
ChIJi6J1IQG9jBIRo9MdPrd9AO4,Cafeteria & pizzeria le carrefour,All,https://lh5.googleusercontent.com/p/AF1QipPi1UNZNCu7p1IrB4scvWoA0KCuCCvsUC399u2S=w237-h298-k-no
ChIJi6J1IQG9jBIRo9MdPrd9AO4,Cafeteria & pizzeria le carrefour,Menu,https://lh5.googleusercontent.com/p/AF1QipO7X5LLQZksOvzFMdVUBMQfBimIaEBZWVyFaH23=w224-h298-k-no
ChIJi6J1IQG9jBIRo9MdPrd9AO4,Cafeteria & pizzeria le carrefour,Food & drink,https://lh5.googleusercontent.com/p/AF1QipP2oEdea29SJcNPlpnl18wkKfadPRGr6RseL0bq=w298-h298-k-no
ChIJi6J1IQG9jBIRo9MdPrd9AO4,Cafeteria & pizzeria le carrefour,Coffee,https://lh5.googleusercontent.com/p/AF1QipP2YG0fpbxe05tPHsrunxP2PMXOetNCGnKi5W2i=w263-h298-k-no
ChIJb7KQzM-9jBIRV60GUOVJXic,CAFE YAHIA AISSA,All,https://lh5.googleusercontent.com/p/AF1QipNyWrljwQDQXnCoh3-_zQ01MwKJ65aGm6iM0fmG=w528-h298-k-no
ChIJb7KQzM-9jBIRV60GUOVJXic,CAFE YAHIA AISSA,Food & drink,https://lh5.googleusercontent.com/p/AF1QipNsh7xEPvdFa6529HlOExNlx1vd6UF0P3O2Ud58=w397-h298-k-no
ChIJb7KQzM-9jBIRV60GUOVJXic,CAFE YAHIA AISSA,Vibe,https://lh5.googleusercontent.com/p/AF1QipNrQ50FecCovWtB2MPFokLgaiC3kkn9mNUNJS3v=w397-h298-k-no
ChIJb7KQzM-9jBIRV60GUOVJXic,CAFE YAHIA AISSA,By owner,https://lh5.googleusercontent.com/p/AF1QipOfDwrY8NHZhXi8QIXi4A-6SDTjk_b4fZBcwICY=w397-h298-k-no
