place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJu-enQNJYATQRPbAfvNN0rFk,Su Lu ,,False,316,"Name: Da Ao Fei Mao Li 
link: https://www.google.com/maps/search/%E5%A4%A7%E6%BE%B3%E9%9D%9E%E8%8C%82%E9%87%8C/@22.2548234,113.8630549?authuser=0&hl=zh-TW&entry=ttu
Reviews: 70 reviews

Name: Da Ao Bing Dian 
link: https://www.google.com/maps/search/%E5%A4%A7%E6%BE%B3%E9%A4%85%E5%BA%97/@22.254772600000003,113.8631308?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Bing Bing 
link: https://www.google.com/maps/search/%E5%86%B0%E5%86%B0/@22.2543054,113.8620747?authuser=0&hl=zh-TW&entry=ttu
Reviews: 18 reviews

Name: Ji Shang Hun Shao Kao 
link: https://www.google.com/maps/search/%E6%A5%B5%E4%B8%8A%E9%AD%82%E7%87%92%E7%83%A4/@22.253659199999998,113.86355010000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Ren Xing Hao 
link: https://www.google.com/maps/search/%E4%BB%81%E8%88%88%E8%99%9F/@22.2544713,113.861982?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.seewide.com/Caf%25C3%25A9-%25E8%2598%2587%25E5%25BB%25AC-%25E5%25A4%25A7%25E6%25BE%25B3-1860,Su Lu  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPVuIRNKkD4vxkAGhmLzUe96dZlv4ESB1_C1TFd=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.2,10:00-19:00,Xing Qi Ri ,9153 7453,Da Ao Ji Qing Jie 86-88Hao Su Lu Hao Di Xia ,"Mian , tiramisu, Tian Dian , He , Zhi Shi Dan Gao , Yu Cun , Ji Yi , Shu Ji ",https://www.google.com/maps/place/%E8%98%87%E5%BB%AC/data=!4m7!3m6!1s0x340158d240a7e7bb:0x59ac74d3bc1fb03d!8m2!3d22.2550634!4d113.8634136!16s%2Fg%2F1tfkc3jc!19sChIJu-enQNJYATQRPbAfvNN0rFk?authuser=0&hl=zh-TW&rclk=1
ChIJP4Bec0owaTQRmXMAkg3lddY,Cafe solo & Arden bike,,False,203,"Name: Liu Qian Jin Ka Pei six sisters cafe
link: https://www.google.com/maps/search/%E5%85%AD%E5%8D%83%E9%87%91%E5%92%96%E5%95%A1six+sisters+cafe/@23.9424052,120.69239469999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 244 reviews

Name: He Mu Ka Pei  Homu coffee
link: https://www.google.com/maps/search/%E7%A6%BE%E6%9C%A8%E5%92%96%E5%95%A1+H%C5%8Dmu+coffee/@23.944186499999997,120.6952201?authuser=0&hl=zh-TW&entry=ttu
Reviews: 93 reviews

Name: Ka Pei Mian Bao Zhong Xing Xin Cun /Ning Meng Ka Pei 
link: https://www.google.com/maps/search/%E5%92%96%E5%95%A1%E9%BA%B5%E5%8C%85%E4%B8%AD%E8%88%88%E6%96%B0%E6%9D%91%2F%E6%AA%B8%E6%AA%AC%E5%92%96%E5%95%A1/@23.9501384,120.69337360000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 32 reviews

Name: --Ren eDian Ka Pei 
link: https://www.google.com/maps/search/%E2%80%94%E4%BA%BAe%E5%BA%97%E5%92%96%E5%95%A1/@23.9501197,120.6933552?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews",https://www.facebook.com/Caf%25C3%25A9-Solo-177422339007149/,Cafe solo & Arden bike (Ye Zhu ),https://www.google.com/maps/contrib/100756725180689501953,https://lh5.googleusercontent.com/p/AF1QipMIwqGfIYBeft1eSN5DHrpeZj84GyTFD4j9V-AE=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Zhu Su , Yun Dong Fu Zhuang Dian ",4.3,,Open All Days,+886 4 9239 3818,540Tai Wan Nan Tou Xian Nan Tou Shi Zhong Zheng Lu 152Zhi 6Hao Cafe solo & Arden bike,"Shu Shi , Huan Jing , Jia Ge , Min Su , Mian Bao , Dan Che , Gou , Fang Jian , Can Yin , wifi",https://www.google.com/maps/place/Cafe+solo+%26+Arden+bike/data=!4m7!3m6!1s0x3469304a735e803f:0xd675e50d92007399!8m2!3d23.9519932!4d120.6883449!16s%2Fg%2F1tcwtgj9!19sChIJP4Bec0owaTQRmXMAkg3lddY?authuser=0&hl=zh-TW&rclk=1
ChIJw53ZrnsABDQRnFkAP8siOzc,SOLE MIO,,False,182,"Name: Fini's Italian American
link: https://www.google.com/maps/search/Fini%27s+Italian+American/@22.2813379,114.15254929999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 918 reviews

Name: Motorino
link: https://www.google.com/maps/search/Motorino/@22.281535599999998,114.1530667?authuser=0&hl=zh-TW&entry=ttu
Reviews: 634 reviews

Name: Mo Bros Restaurant
link: https://www.google.com/maps/search/Mo+Bros+Restaurant/@22.2821231,114.1523773?authuser=0&hl=zh-TW&entry=ttu
Reviews: 218 reviews

Name: Uncle Pizza
link: https://www.google.com/maps/search/Uncle+Pizza/@22.2820166,114.1521952?authuser=0&hl=zh-TW&entry=ttu
Reviews: 120 reviews",http://solemio.com.hk/,SOLE MIO (Ye Zhu ),https://www.google.com/maps/contrib/104109573182078849667,https://lh5.googleusercontent.com/p/AF1QipN_Sg7xRrhi7m_cwMYfXtSBgFRHRYfAGxhmD_DG=w408-h306-k-no,Yi Da Li Can Ting ,"Yi Da Li Can Ting , Jiu Ba , Zao Wu Can Can Ting , Jia Ting Can Ting , Bo Bing Can Ting , Xi Can Ting , Pu Tao Jiu Ba ",4.3,"12:00-15:00, 18:00-22:30",Xing Qi Er ,5508 8244,"Upper Ground (UG/F, SOLE MIOYi Li Ge  Soho, 51 Elgin St, Central","Zao Wu Can , Hong Jiu , Ti La Mi Su , Suan , Qian , Yin Le , Ba , Chi Dao Bao , Xi Bian Mian , You Jiao Jing ",https://www.google.com/maps/place/SOLE+MIO/data=!4m7!3m6!1s0x3404007baed99dc3:0x373b22cb3f00599c!8m2!3d22.2811469!4d114.1526154!16s%2Fg%2F1thy_8lg!19sChIJw53ZrnsABDQRnFkAP8siOzc?authuser=0&hl=zh-TW&rclk=1
ChIJP6koA30ABDQRZ8CZvLEinkM,Tai Ping Yang Ka Pei ,,False,179,"Name: Coco Espresso
link: https://www.google.com/maps/search/Coco+Espresso/@22.285214699999997,114.1523998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 265 reviews

Name: Pret a Manger
link: https://www.google.com/maps/search/Pret+a+Manger/@22.286420300000003,114.1493313?authuser=0&hl=zh-TW&entry=ttu
Reviews: 76 reviews

Name: Flash Coffee
link: https://www.google.com/maps/search/Flash+Coffee/@22.285964,114.15339290000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 30 reviews

Name: INFINITI C (Nan Fung Place)
link: https://www.google.com/maps/search/INFINITI+C+%28Nan+Fung+Place%29/@22.2857968,114.15426319999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews",http://www.pacificcoffee.com/,Tai Ping Yang Ka Pei  (Ye Zhu ),https://www.google.com/maps/contrib/107948528206222609549,https://lh5.googleusercontent.com/p/AF1QipMFLY1tNB4CzFn9XovnV_Ti9Uu3uiOT4TOp_zc8=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,3.8,07:00-20:00,Open All Days,2541 0600,"Tai Ping Yang Ka Pei  Shop 101-2, 1/F, Infinitus Plaza, 199 Des Voeux Road Central, Sheung Wan","Shu Shi , Hui Yi , Lian Suo Dian , You Qi ",https://www.google.com/maps/place/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3404007d0328a93f:0x439e22b1bc99c067!8m2!3d22.2863835!4d114.15367!16s%2Fg%2F11cn9f0t2s!19sChIJP6koA30ABDQRZ8CZvLEinkM?authuser=0&hl=zh-TW&rclk=1
ChIJG29vQ1EABDQR7R5QtjUpJyk,Le Petit Salon (Tong Luo Wan ),,False,43,"Name: The Alchemist Cafe (Causeway Bay)
link: https://www.google.com/maps/search/The+Alchemist+Cafe+%28Causeway+Bay%29/@22.2808614,114.1852536?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews

Name: Le Petit Salon (Wan Zi )
link: https://www.google.com/maps/search/Le+Petit+Salon+%28%E7%81%A3%E4%BB%94%29/@22.2791602,114.1794431?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews

Name: Le Petir Salon Coffee Stand
link: https://www.google.com/maps/search/Le+Petir+Salon+Coffee+Stand/@22.2777082,114.1850159?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2 reviews

Name: Le Petit Salon (Tian Hou )
link: https://www.google.com/maps/search/Le+Petit+Salon+%28%E5%A4%A9%E5%90%8E%29/@22.28276,114.1927027?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",http://lepetitsalon.com.hk/,Le Petit Salon (Tong Luo Wan ) (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipM-gS76_5o8yknVUWI5I5xSadUGnF5kPWwjvcgl=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,09:00-19:00,Open All Days,2892 3398,Tong Luo Wan Xin Hui Dao 8-10Hao Jing Cheng Da Sha Le Petit Salon (Tong Luo Wan )Hao  Di Pu ,"espresso, Jia Qian , Zou Lang ",https://www.google.com/maps/place/Le+Petit+Salon+%28%E9%8A%85%E9%91%BC%E7%81%A3%29/data=!4m7!3m6!1s0x34040051436f6f1b:0x29272935b6501eed!8m2!3d22.2776321!4d114.1847347!16s%2Fg%2F11c2jjth8_!19sChIJG29vQ1EABDQR7R5QtjUpJyk?authuser=0&hl=zh-TW&rclk=1
ChIJMxcQ-7gBBDQRquymz7Pe548,Pei Ren Qian  Coffeer,,False,19,"Name: UCC Coffee Shop (Causeway Bay Plaza)
link: https://www.google.com/maps/search/UCC+Coffee+Shop+%28Causeway+Bay+Plaza%29/@22.280138299999997,114.18277219999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 425 reviews

Name: 18 Grams Speciality Coffee
link: https://www.google.com/maps/search/18+Grams+Speciality+Coffee/@22.281562899999997,114.18354149999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 339 reviews

Name: Urban Coffee Roaster (Causeway Bay)
link: https://www.google.com/maps/search/Urban+Coffee+Roaster+%28Causeway+Bay%29/@22.2819838,114.1857915?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: Caflex by the coffeeology
link: https://www.google.com/maps/search/Caflex+by+the+coffeeology/@22.277604,114.182445?authuser=0&hl=zh-TW&entry=ttu
Reviews: 93 reviews

Name: Coffee/Tea/Breakfast
link: https://www.google.com/maps/search/Coffee%2FTea%2FBreakfast/@22.280381,114.1843545?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4 reviews",https://www.facebook.com/coffeerbrew/,Pei Ren Qian  Coffeer (Ye Zhu ),https://www.google.com/maps/contrib/115683643783379867158,https://lh5.googleusercontent.com/p/AF1QipO3mKf3L2zLjcndiXk3vxF1o1-63YYjCWhkAMmY=w408-h544-k-no,Ka Pei Dian ,Ka Pei Dian ,4.7,12:00-19:00,Xing Qi Yi ,9377 9702,"Tong Luo Wan Xin Hui Dao 6-10Hao Jing Cheng Da Sha Pei Ren Qian  CoffeerShop G95, G/F",Ka Pei Shi ,https://www.google.com/maps/place/%E5%95%A1%E4%BA%BA%E5%89%8D+Coffeer/data=!4m7!3m6!1s0x340401b8fb101733:0x8fe7deb3cfa6ecaa!8m2!3d22.2777158!4d114.1847377!16s%2Fg%2F11j6st1bg6!19sChIJMxcQ-7gBBDQRquymz7Pe548?authuser=0&hl=zh-TW&rclk=1
ChIJ2wU0sFsABDQRLo2yFqqus1k,Chang Yue  Solo,,False,12,"Name: Chang Ji Cha Can Ting 
link: https://www.google.com/maps/search/%E6%98%8C%E8%A8%98%E8%8C%B6%E9%A4%90%E5%BB%B3/@22.276839,114.1701623?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: Xin Chang Tai Tai Guo Can Ting 
link: https://www.google.com/maps/search/%E6%96%B0%E5%9A%90%E6%B3%B0%E6%B3%B0%E5%9C%8B%E9%A4%90%E5%BB%B3/@22.2761399,114.17372960000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Yue Zhuan 
link: https://www.google.com/maps/search/%E7%B2%B5%E9%A5%8C/@22.2787361,114.1714779?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews

Name: Eat.Stay.Love
link: https://www.google.com/maps/search/Eat.Stay.Love/@22.279264599999998,114.18030230000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: SL
link: https://www.google.com/maps/search/SL/@22.2795611,114.1788917?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.facebook.com/solockk,Chang Yue  Solo (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPZsdwV13QxNLLDABnIWq3aKPeSShrtaNJkzT2I=w426-h240-k-no,Can Ting ,Can Ting ,4.3,11:30-23:00,Open All Days,2554 0888,"Chang Yue  Solo, 239 Hennessy Rd, Wan Chai",,https://www.google.com/maps/place/%E5%9A%90%E6%82%85+Solo/data=!4m7!3m6!1s0x3404005bb03405db:0x59b3aeaa16b28d2e!8m2!3d22.2780754!4d114.1759799!16s%2Fg%2F11c1n1hfml!19sChIJ2wU0sFsABDQRLo2yFqqus1k?authuser=0&hl=zh-TW&rclk=1
ChIJv5oUqqoBBDQRRI3YgwV7oRQ,The Tea Roomage,,False,1,"Name: THE MATCHA TOKYO (Causeway Bay)
link: https://www.google.com/maps/search/THE+MATCHA+TOKYO+%28Causeway+Bay%29/@22.278217599999998,114.18283939999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews

Name: Wang Quan Cha Shi  (Zhuan Ying Ri Ben Cha Ju )
link: https://www.google.com/maps/search/%E5%BF%98%E7%AD%8C%E8%8C%B6%E5%AE%A4+%28%E5%B0%88%E7%87%9F%E6%97%A5%E6%9C%AC%E8%8C%B6%E5%85%B7%29/@22.2790796,114.18443049999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Tea WG Boutique (Times Square)
link: https://www.google.com/maps/search/Tea+WG+Boutique+%28Times+Square%29/@22.2782472,114.18203969999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Xiang Jiang Hui -Hui Tian Xia  The Barn
link: https://www.google.com/maps/search/%E9%A6%99%E6%B1%9F%E6%9C%83-%E6%BB%99%E5%A4%A9%E4%B8%8B+The+Barn/@22.2782472,114.18203969999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: H-Tea-O Tea Garden
link: https://www.google.com/maps/search/H-Tea-O+Tea+Garden/@22.280457,114.18532599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://instagram.com/tearoomage,The Tea Roomage (Ye Zhu ),https://www.google.com/maps/contrib/104464609547659268990,https://lh5.googleusercontent.com/p/AF1QipO1ovh2sblhK5x5UmseO_h4d4U8KJwwjXPjQOma=w408-h544-k-no,Cha Yi Guan ,Cha Yi Guan ,5,13:00-21:00,"Xing Qi Er , Xing Qi San , Xing Qi Si , Xing Qi Wu , Xing Qi Yi ",6633 7635,"Tong Luo Wan F, 6-10 Sun Wui Rd Solo Avenue InsideThe Tea RoomageShop G106-108, G",,https://www.google.com/maps/place/The+Tea+Roomage/data=!4m7!3m6!1s0x340401aaaa149abf:0x14a17b0583d88d44!8m2!3d22.2777158!4d114.1847377!16s%2Fg%2F11rscj7kn8!19sChIJv5oUqqoBBDQRRI3YgwV7oRQ?authuser=0&hl=zh-TW&rclk=1
ChIJB503xUd7ATQR4JmVqIwRwwQ,Solo,,False,,"Name: Suo Luo Ka Pei 
link: https://www.google.com/maps/search/%E7%B4%A2%E7%BE%85%E5%92%96%E5%95%A1/@22.227003,113.557897?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews

Name: Pacific Coffee
link: https://www.google.com/maps/search/Pacific+Coffee/@22.22826,113.55672?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: You You Nai Ka Cha Yin 
link: https://www.google.com/maps/search/%E5%84%AA%E5%84%AA%E5%A5%B6%E5%92%96%E8%8C%B6%E9%A3%B2/@22.224999999999998,113.55556999999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Huoli Western-Style Food Coffee Bar
link: https://www.google.com/maps/search/Huoli+Western-Style+Food+Coffee+Bar/@22.225222,113.562565?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.iciba.com/solo,Solo (Ye Zhu ),,,Ka Pei Dian ,Ka Pei Dian ,,,Open All Days,,Zhong Guo Yan Dong Sheng Zhu Hai Shi Xiang Zhou Qu Lian An Lu  Solo You Zheng Bian Ma : 519020,,https://www.google.com/maps/place/Solo/data=!4m7!3m6!1s0x34017b47c5379d07:0x4c3118ca89599e0!8m2!3d22.226653!4d113.560159!16s%2Fg%2F11c2nvc0z8!19sChIJB503xUd7ATQR4JmVqIwRwwQ?authuser=0&hl=zh-TW&rclk=1
ChIJA73APVQABDQRbu_CdLh24kw,Ban Lan Xie Yin Ni Mei Shi ,,False,383,"Name: Kampoeng
link: https://www.google.com/maps/search/Kampoeng/@22.2799479,114.1864434?authuser=0&hl=zh-TW&entry=ttu
Reviews: 471 reviews

Name: Sedap Gurih Indonesian Cuisine
link: https://www.google.com/maps/search/Sedap+Gurih+Indonesian+Cuisine/@22.2797031,114.1865559?authuser=0&hl=zh-TW&entry=ttu
Reviews: 156 reviews

Name: Yin Ni Mei Shi Guan 
link: https://www.google.com/maps/search/%E5%8D%B0%E5%B0%BC%E7%BE%8E%E9%A3%9F%E9%A4%A8/@22.278796200000002,114.1860121?authuser=0&hl=zh-TW&entry=ttu
Reviews: 151 reviews

Name: Yin Ni Fu Xing 
link: https://www.google.com/maps/search/%E5%8D%B0%E5%B0%BC%E7%A6%8F%E8%88%88/@22.279706,114.186843?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Yin Ni Mei Shi Guan 
link: https://www.google.com/maps/search/%E5%8D%B0%E5%B0%BC%E7%BE%8E%E9%A3%9F%E9%A4%A8/@22.278400899999998,114.1864123?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,Ban Lan Xie Yin Ni Mei Shi  (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipMXgkFocj0u70pNtZDUYle7ctXIZWbifYxpWnMG=w408-h544-k-no,Yin Ni Can Ting ,Yin Ni Can Ting ,4.2,10:00-22:00,Open All Days,3188 5478,"Tong Luo Wan Tang Jie 1-5Hao Shop B2, G/FTong Luo Wan Shang Ye Da Sha Ban Lan Xie Yin Ni Mei Shi ","Chuan Shao , Liao , Shao Ji , Ba Dong Niu Rou , Hua Sheng , Ye Zhi , Tong Cai , Hai Nan Ji , Ji Tang ",https://www.google.com/maps/place/%E7%8F%AD%E8%98%AD%E8%91%89%E5%8D%B0%E5%B0%BC%E7%BE%8E%E9%A3%9F/data=!4m7!3m6!1s0x340400543dc0bd03:0x4ce276b874c2ef6e!8m2!3d22.2799421!4d114.1865625!16s%2Fg%2F11gfcz2tsb!19sChIJA73APVQABDQRbu_CdLh24kw?authuser=0&hl=zh-TW&rclk=1
ChIJn8XYDzMBBDQRPr3oAAi3ihU,SOLO UDON,,False,98,"Name: Tun Wang  (Tong Luo Wan )
link: https://www.google.com/maps/search/%E8%B1%9A%E7%8E%8B+%28%E9%8A%85%E9%91%BC%E7%81%A3%29/@22.2791166,114.1817768?authuser=0&hl=zh-TW&entry=ttu
Reviews: 466 reviews

Name: Xin Ji Che Zi Mian 
link: https://www.google.com/maps/search/%E6%96%B0%E8%A8%98%E8%BB%8A%E4%BB%94%E9%BA%B5/@22.279291399999998,114.1825774?authuser=0&hl=zh-TW&entry=ttu
Reviews: 193 reviews

Name: Wan Gui Zhi Mian 
link: https://www.google.com/maps/search/%E4%B8%B8%E9%BE%9C%E8%A3%BD%E9%BA%B5/@22.279854999999998,114.1840601?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: shiyabushiyabuSi Ji  Shabu Shabu Shiki
link: https://www.google.com/maps/search/%E3%81%97%E3%82%83%E3%81%B6%E3%81%97%E3%82%83%E3%81%B6%E5%9B%9B%E5%AD%A3+Shabu+Shabu+Shiki/@22.279180999999998,114.18172450000002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",,SOLO UDON (Ye Zhu ),https://www.google.com/maps/contrib/116184937948360232846,https://lh5.googleusercontent.com/p/AF1QipMCEI12Er6E6S9e_H0jv7GSlmnDaw5nGpDT9QsW=w408-h306-k-no,Wu Dong Zhuan Men Dian ,Wu Dong Zhuan Men Dian ,4,12:00-22:00,Open All Days,6790 5970,"Di Xia 3Hao Pu  SOLO UDON, V Point18Hao  Deng Long Jie Tong Luo Wan ","Ming Tai Zi , Guan Zhuang , Dan Gao , Chun Juan , Cao Mei , Ying Hua Xia , qr code, Ji Lie , Sao Miao , Gan Ga ",https://www.google.com/maps/place/SOLO+UDON/data=!4m7!3m6!1s0x340401330fd8c59f:0x158ab70800e8bd3e!8m2!3d22.2790984!4d114.1817226!16s%2Fg%2F11t9ljdb74!19sChIJn8XYDzMBBDQRPr3oAAi3ihU?authuser=0&hl=zh-TW&rclk=1
ChIJoRcohAMBBDQRbgza0lu7dzY,North Point - SOLO Mi Ni Gong Zuo Fang ,,False,21,"Name: K11 ATELIER King's Road
link: https://www.google.com/maps/search/K11+ATELIER+King%27s+Road/@22.291538799999998,114.20748789999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Yi An Zhong Xin 
link: https://www.google.com/maps/search/%E6%80%A1%E5%AE%89%E4%B8%AD%E5%BF%83/@22.2890013,114.1944609?authuser=0&hl=zh-TW&entry=ttu
Reviews: 75 reviews

Name: Jin Ping Zhong Xin 
link: https://www.google.com/maps/search/%E9%8C%A6%E5%B9%B3%E4%B8%AD%E5%BF%83/@22.2866717,114.19268179999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews

Name: Bei Jiao Gong Ye Da Sha 
link: https://www.google.com/maps/search/%E5%8C%97%E8%A7%92%E5%B7%A5%E6%A5%AD%E5%A4%A7%E5%BB%88/@22.291881,114.2022726?authuser=0&hl=zh-TW&entry=ttu
Reviews: 28 reviews

Name: Compass Offices - AIA Tower - Serviced Offices North Point
link: https://www.google.com/maps/search/Compass+Offices+-+AIA+Tower+-+Serviced+Offices+North+Point/@22.288146899999997,114.19210059999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 11 reviews",,North Point - SOLO Mi Ni Gong Zuo Fang  (Ye Zhu ),https://www.google.com/maps/contrib/115836813385012660392,https://lh5.googleusercontent.com/p/AF1QipM1mTnPP68ChLkDfjx3e0pehdmv0i9LvS59yJMm=w408-h544-k-no,Ban Gong Shi Zu Jie Dai Li ,Ban Gong Shi Zu Jie Dai Li ,3.7,09:00-05:30,Xing Qi Ri ,2311 8867,"North Point - SOLO Mi Ni Gong Zuo Fang , 343 King's Rd, North Point",,https://www.google.com/maps/place/North+Point+-+SOLO+%E8%BF%B7%E4%BD%A0%E5%B7%A5%E4%BD%9C%E5%9D%8A/data=!4m7!3m6!1s0x34040103842817a1:0x3677bb5bd2da0c6e!8m2!3d22.2907074!4d114.1972416!16s%2Fg%2F11c4b324zl!19sChIJoRcohAMBBDQRbgza0lu7dzY?authuser=0&hl=zh-TW&rclk=1
